2_theta_1,intensity_1,2_theta_2,intensity_2,2_theta_3,intensity_3,material_name,material_formula
52.07,100,49.15,90,59.64,80,Polkanovite,Rh12As7
52.07,100,36.19,100,29.76,80,Trustedtite,Ni3Se4
52.00,100,98.21,100,47.57,80,Kalininite,ZnCr2S4
51.97,100,29.76,100,99.53,90,Cuprorhodsite,CuRh2S4
51.91,100,29.76,100,36.06,90,Cuproiridsite,CuIr2S4
51.81,100,29.96,100,36.51,90,Konderite,"PbCu3(Rh,Pt,Ir)8S16"
51.81,100,29.67,100,47.36,80,Cobaltpentlandite,Co9S8
51.75,100,31.36,80,27.51,60,Roshchinite,"Ag19Pb10Sb51S96 or Pb(Ag,Cu)2(Sb,As)5S10"
51.75,100,29.76,80,15.26,80,Xingzhongite,"(Pb,Cu,Fe)(Ir,Pt,Rh)2S4"
51.75,100,15.26,80,29.76,80,Xingzhongite,"(Pb,Cu,Fe)(Ir,Pt,Rh)2S4"
51.72,100,33.57,100,28.78,100,Yftisite-(Y),"(Y,Dy,Er)4(Ti,Sn)O(SiO4)2(F,OH)6"
51.72,100,28.78,100,33.57,100,Yftisite-(Y),"(Y,Dy,Er)4(Ti,Sn)O(SiO4)2(F,OH)6"
51.66,100,29.65,100,35.89,80,Florensovite,Cu(Cr1.5Sb0.5)S4
51.63,100,35.88,90,30.96,70,Tyrrellite,"(Cu,Co,Ni)3Se4"
51.59,100,29.55,80,35.74,60,Daubreelite,Fe++Cr2S4
51.47,100,29.55,90,40.23,90,Miassite,Rh17S15
51.47,100,40.23,90,29.55,90,Miassite,Rh17S15
51.44,100,29.45,80,47.02,50,Pentlandite,"(Fe,Ni)9S8"
51.41,100,10.16,100,29.06,90,Vozhminite,"(Ni,Co)4(As,Sb)S2"
51.31,100,30.92,90,30.27,90,Weberite,Na2MgAlF7
51.31,100,30.27,90,30.92,90,Weberite,Na2MgAlF7
51.22,100,38.58,80,28.76,80,Welinite-III,"Mn++6(W++++++,Mg)2Si2(O,OH)14"
51.22,100,38.58,80,28.76,80,Welinite-VIII,"(Mn++,Mg)3(W++++++,Mn+++)1-x(SiO4)(O,OH)3 (x=1/3)"
