Created as New Dataset,Sample 035 By whitece Date Monday, June 29 2020
cm-1,%T
3474.50,89.68
3474.00,89.65
3473.50,89.64
3473.00,89.63
3472.50,89.62
3472.00,89.61
3471.50,89.59
3471.00,89.58
3470.50,89.56
3470.00,89.55
3469.50,89.53
3469.00,89.52
3468.50,89.50
3468.00,89.49
3467.50,89.48
3467.00,89.48
3466.50,89.48
3466.00,89.48
3465.50,89.47
3465.00,89.44
3464.50,89.40
3464.00,89.37
3463.50,89.34
3463.00,89.32
3462.50,89.31
3462.00,89.31
3461.50,89.32
3461.00,89.32
3460.50,89.30
3460.00,89.28
3459.50,89.26
3459.00,89.25
3458.50,89.25
3458.00,89.26
3457.50,89.25
3457.00,89.22
3456.50,89.18
3456.00,89.14
3455.50,89.12
3455.00,89.11
3454.50,89.10
3454.00,89.10
3453.50,89.10
3453.00,89.10
3452.50,89.09
3452.00,89.07
3451.50,89.04
3451.00,89.02
3450.50,89.00
3450.00,88.98
3449.50,88.95
3449.00,88.93
3448.50,88.91
3448.00,88.91
3447.50,88.92
3447.00,88.91
3446.50,88.90
3446.00,88.87
3445.50,88.84
3445.00,88.80
3444.50,88.79
3444.00,88.79
3443.50,88.80
3443.00,88.81
3442.50,88.80
3442.00,88.78
3441.50,88.76
3441.00,88.74
3440.50,88.73
3440.00,88.70
3439.50,88.68
3439.00,88.65
3438.50,88.65
3438.00,88.65
3437.50,88.65
3437.00,88.64
3436.50,88.63
3436.00,88.61
3435.50,88.59
3435.00,88.56
3434.50,88.54
3434.00,88.52
3433.50,88.51
3433.00,88.50
3432.50,88.49
3432.00,88.49
3431.50,88.49
3431.00,88.48
3430.50,88.47
3430.00,88.45
3429.50,88.43
3429.00,88.41
3428.50,88.40
3428.00,88.39
3427.50,88.38
3427.00,88.38
3426.50,88.37
3426.00,88.36
3425.50,88.35
3425.00,88.34
3424.50,88.33
3424.00,88.33
3423.50,88.33
3423.00,88.32
3422.50,88.30
3422.00,88.28
3421.50,88.26
3421.00,88.23
3420.50,88.21
3420.00,88.20
3419.50,88.18
3419.00,88.17
3418.50,88.17
3418.00,88.16
3417.50,88.15
3417.00,88.13
3416.50,88.11
3416.00,88.09
3415.50,88.06
3415.00,88.04
3414.50,88.03
3414.00,88.02
3413.50,88.03
3413.00,88.03
3412.50,88.03
3412.00,88.02
3411.50,88.00
3411.00,87.98
3410.50,87.95
3410.00,87.92
3409.50,87.89
3409.00,87.86
3408.50,87.84
3408.00,87.84
3407.50,87.85
3407.00,87.86
3406.50,87.85
3406.00,87.83
3405.50,87.80
3405.00,87.78
3404.50,87.78
3404.00,87.77
3403.50,87.76
3403.00,87.75
3402.50,87.73
3402.00,87.72
3401.50,87.70
3401.00,87.68
3400.50,87.67
3400.00,87.66
3399.50,87.66
3399.00,87.66
3398.50,87.65
3398.00,87.65
3397.50,87.64
3397.00,87.64
3396.50,87.64
3396.00,87.65
3395.50,87.67
3395.00,87.67
3394.50,87.65
3394.00,87.63
3393.50,87.61
3393.00,87.60
3392.50,87.60
3392.00,87.60
3391.50,87.60
3391.00,87.60
3390.50,87.59
3390.00,87.58
3389.50,87.57
3389.00,87.55
3388.50,87.52
3388.00,87.49
3387.50,87.48
3387.00,87.47
3386.50,87.49
3386.00,87.51
3385.50,87.54
3385.00,87.55
3384.50,87.54
3384.00,87.52
3383.50,87.50
3383.00,87.48
3382.50,87.47
3382.00,87.47
3381.50,87.46
3381.00,87.45
3380.50,87.43
3380.00,87.41
3379.50,87.40
3379.00,87.39
3378.50,87.39
3378.00,87.39
3377.50,87.39
3377.00,87.39
3376.50,87.39
3376.00,87.38
3375.50,87.37
3375.00,87.36
3374.50,87.36
3374.00,87.35
3373.50,87.35
3373.00,87.34
3372.50,87.35
3372.00,87.36
3371.50,87.37
3371.00,87.37
3370.50,87.36
3370.00,87.35
3369.50,87.34
3369.00,87.32
3368.50,87.30
3368.00,87.27
3367.50,87.25
3367.00,87.24
3366.50,87.23
3366.00,87.22
3365.50,87.22
3365.00,87.22
3364.50,87.23
3364.00,87.23
3363.50,87.24
3363.00,87.24
3362.50,87.22
3362.00,87.21
3361.50,87.20
3361.00,87.19
3360.50,87.18
3360.00,87.16
3359.50,87.16
3359.00,87.17
3358.50,87.18
3358.00,87.19
3357.50,87.19
3357.00,87.17
3356.50,87.16
3356.00,87.15
3355.50,87.14
3355.00,87.14
3354.50,87.13
3354.00,87.12
3353.50,87.11
3353.00,87.10
3352.50,87.08
3352.00,87.07
3351.50,87.06
3351.00,87.07
3350.50,87.07
3350.00,87.08
3349.50,87.08
3349.00,87.07
3348.50,87.06
3348.00,87.05
3347.50,87.05
3347.00,87.04
3346.50,87.04
3346.00,87.02
3345.50,87.01
3345.00,87.01
3344.50,87.01
3344.00,87.01
3343.50,87.01
3343.00,87.00
3342.50,86.99
3342.00,86.98
3341.50,86.97
3341.00,86.95
3340.50,86.94
3340.00,86.94
3339.50,86.94
3339.00,86.95
3338.50,86.94
3338.00,86.93
3337.50,86.93
3337.00,86.92
3336.50,86.91
3336.00,86.90
3335.50,86.89
3335.00,86.90
3334.50,86.91
3334.00,86.90
3333.50,86.88
3333.00,86.86
3332.50,86.84
3332.00,86.83
3331.50,86.83
3331.00,86.83
3330.50,86.83
3330.00,86.83
3329.50,86.83
3329.00,86.82
3328.50,86.81
3328.00,86.80
3327.50,86.81
3327.00,86.81
3326.50,86.81
3326.00,86.80
3325.50,86.79
3325.00,86.78
3324.50,86.76
3324.00,86.74
3323.50,86.72
3323.00,86.70
3322.50,86.70
3322.00,86.71
3321.50,86.73
3321.00,86.74
3320.50,86.74
3320.00,86.73
3319.50,86.71
3319.00,86.70
3318.50,86.69
3318.00,86.70
3317.50,86.71
3317.00,86.72
3316.50,86.73
3316.00,86.74
3315.50,86.74
3315.00,86.73
3314.50,86.70
3314.00,86.68
3313.50,86.67
3313.00,86.67
3312.50,86.66
3312.00,86.64
3311.50,86.62
3311.00,86.61
3310.50,86.60
